Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value,Plant,Fuel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2019-06-01,47.289,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2019-06-01,148.442,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2019-06-01,394.69,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2019-06-01,160.93,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2019-06-01,160.945,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2019-06-01,57.121,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2019-06-01,1.3321999999999998,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2019-06-01,10.839,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2019-06-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2019-06-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2019-06-01,0.577,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2019-06-01,1.124,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2019-06-01,0.324,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2019-06-01,1.877,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2019-06-01,14.173,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2019-06-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2019-06-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2019-07-01,37.962,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2019-07-01,46.14,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2019-07-01,347.12,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2019-07-01,205.97,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2019-07-01,261.72,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2019-07-01,72.825,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2019-07-01,5.547,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2019-07-01,15.57,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2019-07-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2019-07-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2019-07-01,1.296,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2019-07-01,1.495,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2019-07-01,0.7704,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2019-07-01,3.16,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2019-07-01,18.597,Cambalache , Gas
