Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value
Genera PR,Generation,Plant availability (system),,Percentage,,2019-06-01,0.6054
Genera PR,Generation,Plant availability (system),,Percentage,,2019-07-01,0.5636
Genera PR,Generation,Plant availability (system),,Percentage,,2019-08-01,0.5385
Genera PR,Generation,Plant availability (system),,Percentage,,2019-09-01,0.4928
Genera PR,Generation,Plant availability (system),,Percentage,,2019-10-01,0.5834
Genera PR,Generation,Plant availability (system),,Percentage,,2019-11-01,0.5994
Genera PR,Generation,Plant availability (system),,Percentage,,2019-12-01,0.6455
Genera PR,Generation,Plant availability (system),,Percentage,,2020-01-01,0.4225
Genera PR,Generation,Plant availability (system),,Percentage,,2020-02-01,0.4019
Genera PR,Generation,Plant availability (system),,Percentage,,2020-03-01,0.3941
Genera PR,Generation,Plant availability (system),,Percentage,,2020-04-01,0.4119
Genera PR,Generation,Plant availability (system),,Percentage,,2020-05-01,0.4561
Genera PR,Generation,Plant availability (system),,Percentage,,2020-06-01,0.5632
Genera PR,Generation,Plant availability (system),,Percentage,,2020-07-01,0.5298
Genera PR,Generation,Plant availability (system),,Percentage,,2020-08-01,0.5706
Genera PR,Generation,Plant availability (system),,Percentage,,2020-09-01,0.6283
Genera PR,Generation,Plant availability (system),,Percentage,,2020-10-01,0.478
Genera PR,Generation,Plant availability (system),,Percentage,,2020-11-01,0.5066
Genera PR,Generation,Plant availability (system),,Percentage,,2020-12-01,0.5398
Genera PR,Generation,Plant availability (system),,Percentage,,2021-01-01,0.5487
Genera PR,Generation,Plant availability (system),,Percentage,,2021-02-01,0.4796
Genera PR,Generation,Plant availability (system),,Percentage,,2021-03-01,0.442906168856849
Genera PR,Generation,Plant availability (system),,Percentage,,2021-04-01,0.4663466311656662
Genera PR,Generation,Plant availability (system),,Percentage,,2021-05-01,0.49204299134262786
Genera PR,Generation,Plant availability (system),,Percentage,,2021-06-01,0.5519635550641575
Genera PR,Generation,Plant availability (system),,Percentage,,2021-07-01,0.5466597045206516
Genera PR,Generation,Plant availability (system),,Percentage,,2021-08-01,0.505433646223506
Genera PR,Generation,Plant availability (system),,Percentage,,2021-09-01,0.49
Genera PR,Generation,Plant availability (system),,Percentage,,2021-10-01,0.48
Genera PR,Generation,Plant availability (system),,Percentage,,2021-11-01,0.57
Genera PR,Generation,Plant availability (system),,Percentage,,2021-12-01,0.5421
Genera PR,Generation,Plant availability (system),,Percentage,,2022-01-01,0.5857
Genera PR,Generation,Plant availability (system),,Percentage,,2022-02-01,0.5543
Genera PR,Generation,Plant availability (system),,Percentage,,2022-03-01,0.5263
Genera PR,Generation,Plant availability (system),,Percentage,,2022-04-01,0.4115
Genera PR,Generation,Plant availability (system),,Percentage,,2022-05-01,0.4954
Genera PR,Generation,Plant availability (system),,Percentage,,2022-06-01,0.5549
Genera PR,Generation,Plant availability (system),,Percentage,,2022-07-01,0.5612
Genera PR,Generation,Plant availability (system),,Percentage,,2022-08-01,0.504
Genera PR,Generation,Plant availability (system),,Percentage,,2022-09-01,0.4354
Genera PR,Generation,Plant availability (system),,Percentage,,2022-10-01,0.4154
Genera PR,Generation,Plant availability (system),,Percentage,,2022-11-01,0.4393
Genera PR,Generation,Plant availability (system),,Percentage,,2022-12-01,0.4806
Genera PR,Generation,Plant availability (system),,Percentage,,2023-01-01,0.41
Genera PR,Generation,Plant availability (system),,Percentage,,2023-02-01,0.4248
Genera PR,Generation,Plant availability (system),,Percentage,,2023-03-01,0.5171
Genera PR,Generation,Plant availability (system),,Percentage,,2023-04-01,0.5216
Genera PR,Generation,Plant availability (system),,Percentage,,2023-05-01,0.4287
Genera PR,Generation,Plant availability (system),,Percentage,,2023-06-01,0.5229
Genera PR,Generation,Plant availability (system),,Percentage,,2023-07-01,0.4713
Genera PR,Generation,Plant availability (system),,Percentage,,2023-08-01,0.4856
Genera PR,Generation,Plant availability (system),,Percentage,,2023-09-01,0.456
Genera PR,Generation,Plant availability (system),,Percentage,,2023-10-01,0.4638
Genera PR,Generation,Plant availability (system),,Percentage,,2023-11-01,0.4477
Genera PR,Generation,Plant availability (system),,Percentage,,2023-12-01,0.4202
Genera PR,Generation,Plant availability (system),,Percentage,,2024-01-01,0.3771
Genera PR,Generation,Plant availability (system),,Percentage,,2024-02-01,0.4437
Genera PR,Generation,Plant availability (system),,Percentage,,2024-03-01,0.4079
Genera PR,Generation,Plant availability (system),,Percentage,,2024-04-01,0.3741
Genera PR,Generation,Plant availability (system),,Percentage,,2024-05-01,0.492
Genera PR,Generation,Plant availability (system),,Percentage,,2024-06-01,0.5638
