Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2019-06-01,1423.9242352599995
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2019-06-01,561.387675
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2019-06-01,663.0487319999999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2019-06-01,170.675808
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2019-06-01,22.36191326
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2019-06-01,2.46805
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2019-06-01,3.982057
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2019-07-01,1479.9955662599996
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2019-07-01,611.804147
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2019-07-01,654.3390449999998
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2019-07-01,181.218373
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2019-07-01,25.85710426
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2019-07-01,2.684234
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2019-07-01,4.092663
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2019-08-01,1480.5438161999998
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2019-08-01,587.716083
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2019-08-01,687.77366766
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2019-08-01,175.07681
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2019-08-01,24.11197054
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2019-08-01,2.08404
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2019-08-01,3.781245
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2019-09-01,1457.7845899999998
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2019-09-01,580.154831
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2019-09-01,680.164933
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2019-09-01,165.756838
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2019-09-01,25.905957999999995
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2019-09-01,1.981439
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2019-09-01,3.820591
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2019-10-01,1488.7277757781485
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2019-10-01,581.303127
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2019-10-01,666.04965866
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2019-10-01,195.722388
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2019-10-01,39.60996111814881
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2019-10-01,2.178294
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2019-10-01,3.864347
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2019-11-01,1336.5837183152046
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2019-11-01,498.044038
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2019-11-01,646.6976416599999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2019-11-01,161.84451700000002
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2019-11-01,24.325641655204606
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2019-11-01,2.212996
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2019-11-01,3.458884
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2019-12-01,1322.4574314493218
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2019-12-01,503.082476
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2019-12-01,625.0239626599999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2019-12-01,165.02929000000003
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2019-12-01,23.947271789321736
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2019-12-01,1.87695
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2019-12-01,3.497481
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-01-01,1207.184222376474
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-01-01,469.264715
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-01-01,568.33103766
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-01-01,137.17596899999998
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-01-01,27.1288767164743
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-01-01,2.047286
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-01-01,3.236338
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-02-01,1026.4701723625956
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-02-01,366.283241
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-02-01,512.0338821724138
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-02-01,120.28442383388486
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-02-01,23.30544335629691
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-02-01,1.714636
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-02-01,2.848546
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-03-01,1356.2916244953767
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-03-01,481.088325
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-03-01,659.916864
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-03-01,184.447536
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-03-01,25.577599495376774
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-03-01,2.464231
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-03-01,2.797069
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-04-01,1115.772691954961
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-04-01,502.004567
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-04-01,446.701364
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-04-01,138.226669
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-04-01,24.316698954960913
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-04-01,1.861417
